GO:0016755 GO:0016236
GO:0016755 GO:0048102
GO:0016755 GO:0000045
GO:0016755 GO:1903575
GO:0016755 GO:0070268
GO:0050998 GO:0030235
GO:0050997 GO:0120019
GO:0016763 GO:0002927
GO:0016765 GO:2001310
GO:0160215 GO:0052776
GO:0001587 GO:0007208
GO:0001586 GO:0007198
GO:0050905 GO:0050884
GO:0050905 GO:0050885
GO:0001578 GO:0060271
GO:0001572 GO:0010707
GO:0001572 GO:0010706
GO:0016903 GO:0019248
GO:0016903 GO:0061722
GO:0016903 GO:0034604
GO:0016903 GO:0006096
GO:0016903 GO:0061719
GO:0016903 GO:0019660
GO:0016799 GO:0097510
GO:0001539 GO:0160131
GO:0001534 GO:0060091
GO:0001534 GO:0097729
GO:0001530 GO:0039638
GO:0001530 GO:0001875
GO:0015075 GO:1990806
GO:0015075 GO:0061577
GO:0015075 GO:0090676
GO:0015081 GO:0098991
GO:0015085 GO:0061577
GO:0015085 GO:0090676
GO:0001508 GO:0019226
GO:0001508 GO:0098874
GO:0047661 GO:0033362
GO:1904745 GO:0016236
GO:1904745 GO:0048102
GO:1904745 GO:0000045
GO:0051424 GO:0043404
GO:0101005 GO:0016579
GO:0160186 GO:0030845
GO:0050896 GO:0097278
GO:0050896 GO:0002007
GO:0050896 GO:0007595
GO:0050879 GO:0050884
GO:0050879 GO:0050885
GO:0050878 GO:0007595
GO:0050877 GO:0050884
GO:0050877 GO:0050885
GO:0016818 GO:0009678
GO:0016818 GO:0061739
GO:0016818 GO:0140657
GO:0016818 GO:0006635
GO:0016818 GO:0016236
GO:0016818 GO:0048102
GO:0016818 GO:0000045
GO:0015171 GO:0035235
GO:0047500 GO:0046211
GO:0050794 GO:0140676
GO:0050794 GO:0071030
GO:0050794 GO:0031952
GO:0050794 GO:0012501
GO:0050794 GO:0002753
GO:0050794 GO:0098795
GO:0050794 GO:0071031
GO:0050794 GO:0001552
GO:0050794 GO:0007199
GO:0050794 GO:0007188
GO:0050790 GO:0140676
GO:0050790 GO:0031952
GO:0050790 GO:0031583
GO:0050790 GO:0007188
GO:0050790 GO:0007199
GO:0050789 GO:0019226
GO:0050789 GO:0001552
GO:0050789 GO:0007188
GO:0050789 GO:0007199
GO:0050789 GO:0140676
GO:0050789 GO:0007212
GO:0050789 GO:0071030
GO:0050789 GO:0031952
GO:0050789 GO:0002753
GO:0050789 GO:0012501
GO:0050789 GO:0031128
GO:0050789 GO:0097278
GO:0050789 GO:0098795
GO:0050789 GO:0071031
GO:0050779 GO:0071030
GO:0050779 GO:0098795
GO:0050779 GO:0071031
GO:0050776 GO:0097278
GO:0016705 GO:0010241
GO:0016705 GO:0045122
GO:0016702 GO:0019451
GO:0016702 GO:0019398
GO:0016701 GO:0019451
