GO_Term	MetaCyc_Pathway	EC_Combinations
GO:0000025	MALTOSECAT-PWY	[['2.4.1.8', '5.4.2.6']]
GO:0000105	HISTSYN-PWY	[['2.4.2.17', '3.6.1.31', '3.5.4.19', '5.3.1.16', '4.3.2.10', '4.2.1.19', '2.6.1.9', '3.1.3.15']]
GO:0000162	TRPSYN-PWY	[['4.1.3.27', '2.4.2.18', '5.3.1.24', '4.1.1.48', '4.1.2.8', '4.2.1.122']]
GO:0001561	PWY-2501	[]
GO:0005983	PWY-842	[['3.2.1', '3.2.1.2', '3.2.1.20']]
GO:0005986	SUCSYN-PWY	[['2.7.2.3', '1.2.1.12', '4.1.2.13', '3.1.3.11', '5.3.1.9', '5.4.2.2', '2.7.7.64', '2.4.1.14', '3.1.3.24'], ['2.7.2.3', '1.2.1.12', '4.1.2.13', '3.1.3.11', '5.3.1.9', '5.4.2.2', '2.7.7.9', '2.4.1.14', '3.1.3.24'], ['2.7.2.3', '1.2.1.12', '4.1.2.13', '3.1.3.11', '2.4.1.14', '3.1.3.24']]
GO:0005998	XYLCAT-PWY	[['5.3.1.5', '2.7.1.17']]
GO:0006031	PWY-6981	[['2.4.1.1', '5.4.2.2', '5.3.1.9', '2.6.1.16', '2.3.1.4', '5.4.2.3', '2.7.7.23', '2.4.1.16'], ['3.2.1.28', '2.7.1.1', '5.3.1.9', '2.6.1.16', '2.3.1.4', '5.4.2.3', '2.7.7.23', '2.4.1.16'], ['3.2.1.28', '2.7.1.2', '5.3.1.9', '2.6.1.16', '2.3.1.4', '5.4.2.3', '2.7.7.23', '2.4.1.16'], ['3.2.1.3', '2.7.1.1', '5.3.1.9', '2.6.1.16', '2.3.1.4', '5.4.2.3', '2.7.7.23', '2.4.1.16'], ['3.2.1.3', '2.7.1.2', '5.3.1.9', '2.6.1.16', '2.3.1.4', '5.4.2.3', '2.7.7.23', '2.4.1.16']]
