protein_id	protein_name	integration_date	taxon_id	taxon_id_matched
FTTA_METMP	Transcription termination factor FttA {ECO:0000255|HAMAP-Rule:MF_00870}	29-MAY-2024	267377	True
FTTA_METTH	Transcription termination factor FttA {ECO:0000255|HAMAP-Rule:MF_00870}	29-MAY-2024	187420	True
FTTA_PYRAB	Transcription termination factor FttA {ECO:0000255|HAMAP-Rule:MF_00870}	29-MAY-2024	272844	True
FTTA_PYRHO	Transcription termination factor FttA {ECO:0000255|HAMAP-Rule:MF_00870}	29-MAY-2024	70601	True
FTTA_THEKO	Transcription termination factor FttA {ECO:0000255|HAMAP-Rule:MF_00870, ECO:0000303|PubMed:32094586}	29-MAY-2024	69014	True
FZD5_DANRE	Frizzled-5	24-JUL-2024	7955	True
GH1_SAPOF	Glycosyl hydrolase-like protein 1 {ECO:0000303|PubMed:39043959}	18-JUN-2025	3572	True
GLB11_MEDTR	Anaerobic nitrite reductase Glb1-1 {ECO:0000250|UniProtKB:O04986}	29-MAY-2024	3880	True
GLB12_MEDTR	Anaerobic nitrite reductase Glb1-2 {ECO:0000250|UniProtKB:O04986}	29-MAY-2024	3880	True
GLB13_MEDTR	Anaerobic nitrite reductase Glb1-3 {ECO:0000250|UniProtKB:O04986}	29-MAY-2024	3880	True
GLB31_MEDTR	Group 2 truncated hemoglobin 3-1 {ECO:0000305|PubMed:32003030}	29-MAY-2024	3880	True
GLB32_MEDTR	Group 2 truncated hemoglobin 3-2 {ECO:0000305|PubMed:32003030}	29-MAY-2024	3880	True
GPR4_CALMI	G-protein coupled receptor 4 {ECO:0000305}	18-JUN-2025	7868	True
GPR4_DANRE	G-protein coupled receptor 4 {ECO:0000303|PubMed:39799123}	18-JUN-2025	7955	True
GPR4_XENTR	G-protein coupled receptor 4	18-JUN-2025	8364	True
GT731_SAPOF	UDP-glucosyl transferase 73DL1 {ECO:0000303|PubMed:39043959}	18-JUN-2025	3572	True
GT732_SAPOF	UDP-glucosyl transferase 73M2 {ECO:0000303|PubMed:39043959}	18-JUN-2025	3572	True
GT736_SAPOF	UDP-glucosyl transferase 73CC6 {ECO:0000303|PubMed:39043959}	18-JUN-2025	3572	True
GT741_SAPOF	UDP-glucosyl transferase 74CD1 {ECO:0000303|PubMed:39043959}	18-JUN-2025	3572	True
GT791_SAPOF	UDP-glucosyl transferase 79T1 {ECO:0000303|PubMed:39043959}	18-JUN-2025	3572	True
GT793_SAPOF	UDP-glucosyl transferase 79L3 {ECO:0000303|PubMed:39043959}	18-JUN-2025	3572	True
HAK5_MANES	Potassium transporter 5 {ECO:0000305}	24-JUL-2024	3983	True
HAL3A_SOYBN	Phosphopantothenoylcysteine decarboxylase HAL3a {ECO:0000305}	09-APR-2025	3847	True
HAL3B_SOYBN	Phosphopantothenoylcysteine decarboxylase HAL3b {ECO:0000305}	09-APR-2025	3847	True
HAL3_MALDO	Phosphopantothenoylcysteine decarboxylase HAL3 {ECO:0000305}	09-APR-2025	3750	True
HOBA_HELPY	DNA replication regulator protein HobA {ECO:0000305}	05-FEB-2025	85962	True
HPO27_CAEEL	Maestro heat-like repeat-containing protein family member 1 homolog {ECO:0000305}	18-JUN-2025	6239	True
IDH2_MYCTU	Isocitrate dehydrogenase [NADP] 2 {ECO:0000303|PubMed:16194279}	02-OCT-2024	83332	True
INT15_DROME	Integrator complex subunit 15 {ECO:0000305}	09-APR-2025	7227	True
IZUM1_DANRE	Izumo sperm-egg fusion protein 1	05-FEB-2025	7955	True
JUNO_RAT	Sperm-egg fusion protein Juno	05-FEB-2025	10116	True
KCNF1_RAT	Voltage-gated potassium channel regulatory subunit KCNF1 {ECO:0000305}	02-OCT-2024	10116	True
KCNK6_RAT	Potassium channel subfamily K member 6	27-NOV-2024	10116	True
KCNKD_DANRE	Potassium channel, subfamily K, member 13	27-NOV-2024	7955	True
KCNU1_RAT	Potassium channel subfamily U member 1	24-JUL-2024	10116	True
KDSR_DANRE	3-dehydrosphinganine reductase {ECO:0000305}	29-MAY-2024	7955	True
KTHY_DROME	Thymidylate kinase {ECO:0000303|PubMed:38518117}	09-APR-2025	7227	True
LGB5_SOYBN	Leghemoglobin 5 {ECO:0000303|PubMed:32297921}	29-MAY-2024	3847	True
LGB8_MEDTR	Leghemoglobin 8 {ECO:0000303|PubMed:32442331}	29-MAY-2024	3880	True
LYSM1_ZYMTI	Secreted LysM effector Mg1LysM {ECO:0000303|PubMed:21467214}	24-JUL-2024	336722	True
LYSM3_ZYMTI	Secreted LysM effector Mg3LysM {ECO:0000303|PubMed:21467214}	24-JUL-2024	336722	True
M1476_MYCTU	Membrane protein Rv1476 {ECO:0000305}	27-NOV-2024	83332	True
MA7D2_RAT	MAP7 domain-containing protein 2	09-APR-2025	10116	True
MBDR2_DROME	Protein MBD-R2 {ECO:0000305}	29-MAY-2024	7227	True
MCU_CYPE1	Calcium uniporter protein, mitochondrial {ECO:0000305}	24-JUL-2024	1220924	True
MCU_GIBZE	Calcium uniporter protein, mitochondrial {ECO:0000305}	24-JUL-2024	229533	True
MCU_METAQ	Calcium uniporter protein, mitochondrial {ECO:0000305}	24-JUL-2024	655827	True
MCU_NEOFI	Calcium uniporter protein, mitochondrial {ECO:0000305}	24-JUL-2024	331117	True
MCU_NEUCR	Calcium uniporter protein, mitochondrial {ECO:0000305}	24-JUL-2024	367110	True
MCU_TRICA	Calcium uniporter protein, mitochondrial {ECO:0000305}	24-JUL-2024	7070	True
MGM1_CHATD	Dynamin-like GTPase MGM1, mitochondrial {ECO:0000305}	29-MAY-2024	759272	True
MICU3_RAT	Calcium uptake protein 3, mitochondrial {ECO:0000305}	24-JUL-2024	10116	True
MK1_CAPAN	Mitogen-activated protein kinase 1 {ECO:0000303|PubMed:11266120}	29-MAY-2024	4072	True
MK2_CAPAN	Mitogen-activated protein kinase 2 {ECO:0000303|PubMed:11266120}	29-MAY-2024	4072	True
MNT1_ASPFU	Alpha-1,2-mannosyltransferase 1 {ECO:0000303|PubMed:18708564}	29-MAY-2024	330879	True
