taxon_id,organism,config,n_vars,n_constraints,setup_s,solve_s,solved_status
272844,Pyrococcus abyssi (small),+H1+H2+H3,6658,7381,0.002,,
272844,Pyrococcus abyssi (small),+H2+H3,201766,226284,0.054,,
272844,Pyrococcus abyssi (small),+H2,1788300,1971996,0.516,,
272844,Pyrococcus abyssi (small),+H1+H2,56924,62138,0.014,,
272844,Pyrococcus abyssi (small),+H1+H3,3652200,3921050,0.001,,
272844,Pyrococcus abyssi (small),+H3,3652200,4018150,0.001,,
272844,Pyrococcus abyssi (small),+H1,3652200,3937050,0.001,,
272844,Pyrococcus abyssi (small),Naive,3652200,4810950,0.001,,
759272,medium,+H1+H2+H3,29580,31494,0.008,,
759272,medium,+H2+H3,225930,244212,0.079,,
759272,medium,+H2,18268506,20090268,9.538,,
759272,medium,+H1+H2,2343008,2558239,0.978,,
759272,medium,+H1+H3,37309252,40043373,0.001,,
759272,medium,+H3,37309252,40134373,0.002,,
759272,medium,+H1,37309252,40779987,0.001,,
759272,medium,Naive,37309252,49146527,0.001,,
10116,Rattus norvegicus (large),+H1+H2+H3,30506,29990,0.006,7.730,OPTIMAL
10116,Rattus norvegicus (large),+H2+H3,274178,284015,0.068,,
10116,Rattus norvegicus (large),+H2,80382176,88377805,30.562,,
10116,Rattus norvegicus (large),+H1+H2,8788064,9398828,2.875,,
10116,Rattus norvegicus (large),+H1+H3,164162332,176163143,0.001,,
10116,Rattus norvegicus (large),+H3,164162332,176256043,0.002,,
10116,Rattus norvegicus (large),+H1,164162332,178665091,0.001,,
10116,Rattus norvegicus (large),Naive,164162332,216246857,0.001,,
